기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상
2018,종로구,발생건수,1134,75,68,90,866
2018,종로구,사망자수,6,0,0,0,6
2018,중구,발생건수,1128,83,86,78,823
2018,중구,사망자수,9,0,0,0,9
2018,용산구,발생건수,1330,128,140,116,860
2018,용산구,사망자수,14,0,3,2,7
2018,성동구,발생건수,1143,134,146,102,692
2018,성동구,사망자수,9,0,1,1,6
2018,광진구,발생건수,1108,122,138,115,659
2018,광진구,사망자수,10,2,0,3,5
2018,동대문구,발생건수,1699,182,170,141,1103
2018,동대문구,사망자수,14,1,0,1,12
2018,중랑구,발생건수,1565,136,146,109,1085
2018,중랑구,사망자수,10,0,0,1,8
2018,성북구,발생건수,1427,116,116,85,1048
2018,성북구,사망자수,14,0,1,0,12
2018,강북구,발생건수,1216,106,101,80,846
2018,강북구,사망자수,13,2,0,0,10
2018,도봉구,발생건수,824,77,62,51,597
2018,도봉구,사망자수,6,0,0,0,6
2018,노원구,발생건수,1569,116,115,99,1161
2018,노원구,사망자수,14,2,2,1,8
2018,은평구,발생건수,1134,68,83,62,842
2018,은평구,사망자수,12,0,0,1,10
2018,서대문구,발생건수,1033,99,100,72,720
2018,서대문구,사망자수,5,0,0,0,5
2018,마포구,발생건수,1671,159,171,137,1101
2018,마포구,사망자수,11,0,1,1,9
2018,양천구,발생건수,1428,107,109,92,1036
2018,양천구,사망자수,11,0,1,1,9
2018,강서구,발생건수,1502,142,135,132,1017
2018,강서구,사망자수,11,0,1,0,7
2018,구로구,발생건수,1532,208,164,126,971
2018,구로구,사망자수,13,0,1,2,10
2018,금천구,발생건수,932,129,119,74,574
2018,금천구,사망자수,6,0,1,0,5
2018,영등포구,발생건수,2493,300,240,196,1582
2018,영등포구,사망자수,22,1,0,0,19
2018,동작구,발생건수,1412,180,144,122,895
2018,동작구,사망자수,9,1,0,1,7
2018,관악구,발생건수,1300,133,144,124,838
2018,관악구,사망자수,8,1,1,0,6
2018,서초구,발생건수,2478,237,282,230,1613
2018,서초구,사망자수,18,2,2,0,14
2018,강남구,발생건수,3459,361,408,331,2208
2018,강남구,사망자수,20,2,3,0,15
2018,송파구,발생건수,2860,262,265,205,1947
2018,송파구,사망자수,27,0,2,3,22
2018,강동구,발생건수,1418,129,162,107,924
2018,강동구,사망자수,12,0,0,2,10
