기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상
2014,종로구,발생건수,1314,179,159,171,739
2014,종로구,사망자수,11,1,1,1,7
2014,중구,발생건수,1305,175,162,164,730
2014,중구,사망자수,7,1,0,1,4
2014,용산구,발생건수,1350,177,169,193,705
2014,용산구,사망자수,8,2,1,2,3
2014,성동구,발생건수,1189,180,152,172,578
2014,성동구,사망자수,11,4,0,3,4
2014,광진구,발생건수,1480,198,195,213,732
2014,광진구,사망자수,12,0,1,0,11
2014,동대문구,발생건수,1848,295,219,279,888
2014,동대문구,사망자수,27,6,5,4,10
2014,중랑구,발생건수,1622,239,210,247,787
2014,중랑구,사망자수,11,1,0,3,7
2014,성북구,발생건수,1664,250,197,248,861
2014,성북구,사망자수,17,0,2,5,7
2014,강북구,발생건수,1313,222,146,182,674
2014,강북구,사망자수,12,4,0,1,7
2014,도봉구,발생건수,919,128,95,110,500
2014,도봉구,사망자수,14,2,0,1,9
2014,노원구,발생건수,1516,206,161,195,838
2014,노원구,사망자수,17,0,4,1,11
2014,은평구,발생건수,1325,218,163,163,649
2014,은평구,사망자수,11,2,1,3,5
2014,서대문구,발생건수,1122,148,128,165,605
2014,서대문구,사망자수,16,3,1,3,7
2014,마포구,발생건수,1759,273,230,264,862
2014,마포구,사망자수,20,5,2,0,12
2014,양천구,발생건수,1466,230,138,193,757
2014,양천구,사망자수,13,1,1,3,7
2014,강서구,발생건수,1806,251,209,270,936
2014,강서구,사망자수,32,6,3,5,17
2014,구로구,발생건수,1566,268,196,235,740
2014,구로구,사망자수,19,4,1,0,13
2014,금천구,발생건수,1029,170,131,158,498
2014,금천구,사망자수,13,3,1,0,9
2014,영등포구,발생건수,2193,398,250,289,1064
2014,영등포구,사망자수,26,5,1,1,19
2014,동작구,발생건수,1399,246,182,188,690
2014,동작구,사망자수,13,2,1,5,4
2014,관악구,발생건수,1716,303,213,268,804
2014,관악구,사망자수,22,1,5,2,13
2014,서초구,발생건수,2217,267,276,320,1190
2014,서초구,사망자수,13,3,3,2,5
2014,강남구,발생건수,3624,486,455,598,1810
2014,강남구,사망자수,17,2,1,6,8
2014,송파구,발생건수,2608,356,291,387,1357
2014,송파구,사망자수,24,6,2,3,13
2014,강동구,발생건수,1442,197,159,238,715
2014,강동구,사망자수,14,0,2,4,8
