기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상
2016,종로구,발생건수,1299,160,137,154,795
2016,종로구,사망자수,9,0,0,1,8
2016,중구,발생건수,1288,147,144,147,788
2016,중구,사망자수,17,4,2,1,10
2016,용산구,발생건수,1428,168,176,149,813
2016,용산구,사망자수,12,1,1,0,9
2016,성동구,발생건수,1099,164,137,126,588
2016,성동구,사망자수,15,2,2,0,10
2016,광진구,발생건수,1045,141,136,111,568
2016,광진구,사망자수,9,1,3,1,3
2016,동대문구,발생건수,2051,272,225,232,1151
2016,동대문구,사망자수,14,0,3,2,8
2016,중랑구,발생건수,1535,207,134,168,886
2016,중랑구,사망자수,9,0,1,2,6
2016,성북구,발생건수,1618,217,188,186,952
2016,성북구,사망자수,13,3,1,1,8
2016,강북구,발생건수,1227,152,140,97,768
2016,강북구,사망자수,15,1,2,0,11
2016,도봉구,발생건수,949,150,94,80,547
2016,도봉구,사망자수,11,1,1,1,7
2016,노원구,발생건수,1535,221,177,188,831
2016,노원구,사망자수,13,1,1,2,8
2016,은평구,발생건수,1121,172,86,117,656
2016,은평구,사망자수,14,1,0,0,11
2016,서대문구,발생건수,1135,160,118,130,650
2016,서대문구,사망자수,14,4,1,0,9
2016,마포구,발생건수,1768,289,173,204,974
2016,마포구,사망자수,15,2,3,0,10
2016,양천구,발생건수,1493,174,126,155,869
2016,양천구,사망자수,12,2,1,1,6
2016,강서구,발생건수,1691,214,195,202,909
2016,강서구,사망자수,13,2,1,2,7
2016,구로구,발생건수,1511,252,172,170,795
2016,구로구,사망자수,9,1,2,0,4
2016,금천구,발생건수,799,146,88,99,412
2016,금천구,사망자수,15,2,0,3,10
2016,영등포구,발생건수,2403,370,259,295,1239
2016,영등포구,사망자수,22,2,2,1,15
2016,동작구,발생건수,1471,211,177,172,798
2016,동작구,사망자수,19,2,2,1,12
2016,관악구,발생건수,1408,204,170,168,769
2016,관악구,사망자수,19,4,3,2,9
2016,서초구,발생건수,2313,266,252,304,1348
2016,서초구,사망자수,16,1,0,2,12
2016,강남구,발생건수,3828,494,507,493,2082
2016,강남구,사망자수,12,4,2,0,5
2016,송파구,발생건수,2598,296,241,305,1470
2016,송파구,사망자수,14,3,0,2,9
2016,강동구,발생건수,1426,159,157,148,805
2016,강동구,사망자수,17,2,2,2,10
