기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상
2017,종로구,발생건수,1190,83,102,69,877
2017,종로구,사망자수,13,0,2,2,9
2017,중구,발생건수,1252,77,118,91,902
2017,중구,사망자수,4,0,0,0,4
2017,용산구,발생건수,1337,120,107,109,898
2017,용산구,사망자수,12,1,2,3,6
2017,성동구,발생건수,1076,136,116,108,636
2017,성동구,사망자수,15,3,1,0,8
2017,광진구,발생건수,1064,120,125,97,614
2017,광진구,사망자수,16,0,2,4,10
2017,동대문구,발생건수,1718,228,159,150,1081
2017,동대문구,사망자수,25,2,3,1,19
2017,중랑구,발생건수,1639,163,139,141,1087
2017,중랑구,사망자수,6,0,1,0,4
2017,성북구,발생건수,1557,132,116,107,1123
2017,성북구,사망자수,17,1,1,0,15
2017,강북구,발생건수,1202,123,82,79,850
2017,강북구,사망자수,9,1,0,0,8
2017,도봉구,발생건수,944,68,87,62,660
2017,도봉구,사망자수,9,2,0,0,6
2017,노원구,발생건수,1499,150,155,124,995
2017,노원구,사망자수,11,1,1,0,9
2017,은평구,발생건수,1067,86,78,55,764
2017,은평구,사망자수,12,0,0,1,10
2017,서대문구,발생건수,1032,122,102,81,673
2017,서대문구,사망자수,8,0,0,0,8
2017,마포구,발생건수,1859,201,198,152,1182
2017,마포구,사망자수,8,0,1,2,5
2017,양천구,발생건수,1343,97,101,91,946
2017,양천구,사망자수,13,3,0,0,10
2017,강서구,발생건수,1584,165,151,127,1055
2017,강서구,사망자수,12,1,0,1,9
2017,구로구,발생건수,1433,195,120,110,922
2017,구로구,사망자수,12,3,2,1,6
2017,금천구,발생건수,824,101,89,74,501
2017,금천구,사망자수,6,1,0,0,5
2017,영등포구,발생건수,2386,270,255,226,1473
2017,영등포구,사망자수,22,4,2,3,12
2017,동작구,발생건수,1409,179,163,113,863
2017,동작구,사망자수,20,0,4,1,13
2017,관악구,발생건수,1251,143,141,107,788
2017,관악구,사망자수,11,1,2,1,7
2017,서초구,발생건수,2361,233,232,234,1535
2017,서초구,사망자수,21,3,0,6,12
2017,강남구,발생건수,3469,342,361,353,2233
2017,강남구,사망자수,19,0,2,2,15
2017,송파구,발생건수,2758,254,246,221,1800
2017,송파구,사망자수,23,2,1,2,18
2017,강동구,발생건수,1371,130,128,110,892
2017,강동구,사망자수,19,1,3,0,12
