기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상,기타불명
2013,양천구,부상자수,1905,286,234,317,937,131
2013,강서구,발생건수,1715,245,219,255,867,129
2013,강서구,사망자수,26,6,1,4,14,1
2013,강서구,부상자수,2517,350,304,385,1321,157
2013,구로구,발생건수,1415,263,166,218,648,120
2013,구로구,사망자수,19,1,2,3,13,-
2013,구로구,부상자수,2165,430,256,332,1007,140
2013,금천구,발생건수,939,154,128,149,438,70
2013,금천구,사망자수,10,-,-,4,5,1
2013,금천구,부상자수,1419,246,209,217,660,87
2013,영등포구,발생건수,2157,336,246,334,1058,183
2013,영등포구,사망자수,29,4,3,1,15,6
2013,영등포구,부상자수,3128,507,377,467,1552,225
2013,동작구,발생건수,1233,193,160,210,590,80
2013,동작구,사망자수,11,2,-,1,8,-
2013,동작구,부상자수,1848,302,224,311,903,108
2013,관악구,발생건수,1753,305,225,269,845,109
2013,관악구,사망자수,20,1,3,2,14,-
2013,관악구,부상자수,2482,456,299,365,1233,129
2013,서초구,발생건수,2055,280,229,296,1116,134
2013,서초구,사망자수,19,5,3,1,10,-
2013,서초구,부상자수,3304,489,416,448,1783,168
2013,강남구,발생건수,3610,511,499,589,1780,231
2013,강남구,사망자수,31,5,3,7,15,1
2013,강남구,부상자수,5326,816,790,874,2559,287
2013,송파구,발생건수,2473,334,294,402,1220,223
2013,송파구,사망자수,21,2,5,3,9,2
2013,송파구,부상자수,3556,473,418,629,1768,268
2013,강동구,발생건수,1356,179,148,233,704,92
2013,강동구,사망자수,12,3,3,1,4,1
2013,강동구,부상자수,1942,254,197,355,1028,108
2014,합계,발생건수,40792,6060,4886,5910,20709,3227
2014,합계,사망자수,400,64,39,59,220,18
2014,합계,부상자수,57345,8635,7154,8410,29293,3853
2014,종로구,발생건수,1314,179,159,171,739,66
2014,종로구,사망자수,11,1,1,1,7,1
2014,종로구,부상자수,1790,246,228,241,996,79
2014,중구,발생건수,1305,175,162,164,730,74
2014,중구,사망자수,7,1,-,1,4,1
2014,중구,부상자수,1785,243,222,231,1002,87
2014,용산구,발생건수,1350,177,169,193,705,106
2014,용산구,사망자수,8,2,1,2,3,-
2014,용산구,부상자수,1971,261,242,299,1023,146
2014,성동구,발생건수,1189,180,152,172,578,107
2014,성동구,사망자수,11,4,-,3,4,-
2014,성동구,부상자수,1712,290,212,251,819,140
2014,광진구,발생건수,1480,198,195,213,732,142
2014,광진구,사망자수,12,-,1,-,11,-
2014,광진구,부상자수,2081,271,304,299,1044,163
2014,동대문구,발생건수,1848,295,219,279,888,167
2014,동대문구,사망자수,27,6,5,4,10,2
2014,동대문구,부상자수,2407,385,273,351,1187,211
2014,중랑구,발생건수,1622,239,210,247,787,139
2014,중랑구,사망자수,11,1,-,3,7,-
2014,중랑구,부상자수,2180,308,300,358,1057,157
2014,성북구,발생건수,1664,250,197,248,861,108
2014,성북구,사망자수,17,-,2,5,7,3
