기간,자치구,구분,합계,5년 미만,10년 미만,15년 미만,15년 이상
2015,종로구,발생건수,1414,174,165,176,819
2015,종로구,사망자수,8,2,1,0,5
2015,중구,발생건수,1338,160,160,175,770
2015,중구,사망자수,8,0,1,0,7
2015,용산구,발생건수,1516,190,186,200,801
2015,용산구,사망자수,18,1,2,3,9
2015,성동구,발생건수,1227,171,160,156,637
2015,성동구,사망자수,8,0,4,0,2
2015,광진구,발생건수,1235,184,151,143,656
2015,광진구,사망자수,17,2,3,1,10
2015,동대문구,발생건수,2085,292,234,270,1117
2015,동대문구,사망자수,16,4,0,4,8
2015,중랑구,발생건수,1722,250,227,221,875
2015,중랑구,사망자수,16,8,0,0,7
2015,성북구,발생건수,1680,253,201,226,902
2015,성북구,사망자수,19,4,0,4,9
2015,강북구,발생건수,1265,221,138,160,634
2015,강북구,사망자수,16,1,1,1,13
2015,도봉구,발생건수,914,141,102,121,479
2015,도봉구,사망자수,8,2,0,1,5
2015,노원구,발생건수,1459,217,157,202,748
2015,노원구,사망자수,15,1,1,1,8
2015,은평구,발생건수,1203,183,122,141,627
2015,은평구,사망자수,16,1,3,0,10
2015,서대문구,발생건수,1071,136,130,154,569
2015,서대문구,사망자수,13,1,0,2,10
2015,마포구,발생건수,1802,274,251,248,874
2015,마포구,사망자수,17,1,2,3,10
2015,양천구,발생건수,1596,265,182,201,820
2015,양천구,사망자수,14,1,1,1,9
2015,강서구,발생건수,1932,302,215,223,1014
2015,강서구,사망자수,12,4,0,4,4
2015,구로구,발생건수,1508,295,196,181,731
2015,구로구,사망자수,19,2,0,1,15
2015,금천구,발생건수,914,163,107,114,464
2015,금천구,사망자수,10,1,1,3,5
2015,영등포구,발생건수,2462,366,282,337,1275
2015,영등포구,사망자수,28,3,2,5,15
2015,동작구,발생건수,1386,251,171,191,671
2015,동작구,사망자수,7,2,0,1,4
2015,관악구,발생건수,1625,295,200,223,794
2015,관악구,사망자수,12,3,4,0,5
2015,서초구,발생건수,2160,259,239,294,1231
2015,서초구,사망자수,20,1,6,1,12
2015,강남구,발생건수,3970,552,518,604,1995
2015,강남구,사망자수,20,2,2,8,8
2015,송파구,발생건수,2687,356,304,387,1386
2015,송파구,사망자수,16,2,1,2,11
2015,강동구,발생건수,1494,215,186,180,790
2015,강동구,사망자수,23,3,6,1,12
